word	fequency
someone	0.0005046765807355107
try	0.0004990814186659406
hi	0.0004959143457963727
being	0.0004951683241870967
same	0.0004934792186566604
car	0.0004910722432757888
yourself	0.000490804801566803
might	0.0004904951322195563
dad	0.0004903051078473823
miss	0.00048775737367230763
morning	0.0004859838128653496
else	0.000484512883465928
hell	0.0004824296533117233
many	0.0004787065832050534
men	0.00047760162667055965
friend	0.00047508908219403575
baby	0.00046641834047112966
next	0.00046560897740446233
talking	0.00046380726483866364
move	0.0004612102650856179
fucking	0.00045648780754010656
huh	0.00045515059899517787
live	0.0004519835261256099
looking	0.0004489220223516942
hold	0.0004453960145569085
real	0.0004419966896769056
getting	0.00044183481706357207
without	0.00043840734042472853
saw	0.00043721089067400286
went	0.00043669712107516183
seen	0.0004352402675551606
room	0.00043186205649428807
